;text;productCategory;hazardCategory
10;Undeclared allergen (sulphur dioxide and sorbic acid) found in prepackaged date sample Issue Date 5.1.2021 Source of Information Centre for Food Safety (CFS) Food Product Prepackaged date Product Name and Description Product name: (Not available in English) Place of origin: China Distributor: Premier Food Ltd Net weight: 450 grams per pack Best-before date: December 31, 2021 Reason For Issuing Alert Subsequent to announcing earlier that a prepackaged date sample taken from an online shop was detected with excessive preservative and in breach of the food labelling regulation, the CFS took another date sample from the same distributor from a shop in a shopping centre in West Kowloon for testing during follow-up investigations. The test result showed that the sample contained sorbic acid at a level of 69 parts per million (ppm) and sulphur dioxide at a level of 41 ppm. Although the levels are within the legal limits, the functional class and names of the two additives were not declared on the food label of the sample. Sulphur dioxide is a commonly used preservative in a variety of foods including dried vegetables, dried fruits, pickled vegetables and salted fish products. Sulphur dioxide is water soluble, and most of it can be removed through washing and cooking. However, susceptible individuals who are allergic to this preservative may experience breathing difficulties, headaches and nausea after consumption. Action Taken by the Centre for Food Safety The CFS has informed the vendor concerned of the irregularity. The distributor concerned has initiated a recall on the affected batch of the product according to the CFS's instructions. The CFS will alert the trade, continue to follow up on the incident and take appropriate action. Investigation is ongoing. Advice to the Trade Stop using or selling the affected batch of the product immediately if they possess it. Advice to Consumers Should not consume the affected batch of the product. Further Information The CFS press release Members of the public may call its hotline at 2291 6216 during office hours for enquiries about the recall. Centre for Food Safety Food and Environmental Hygiene Department 2021-1-5 Back;;fraud
11;PRA No. 2009/10709 Date published 3 Apr 2009 Product description 370ml Plastic Bottle. Best Before: 19/11/10. Identifying features N/A What are the defects? Labelling - Undeclared allergen (egg and milk). What are the hazards? Illness. What should consumers do? Return to place of purchase for full refund. Supplier Heinz Australia Where the product was sold Nationally Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Groceries × Close;;fraud
12;Notice This archive of previously issued food recalls and allergy alerts is provided for reference and research purposes. Users should note that the products listed in the archive have been subject to removal from the marketplace or appropriate corrective action. Food recalls or allergy alerts are not an indication of the food safety status of products produced at a later date. Notification - PC brand yogurt products recalled due to spoilage Recall / advisory date: November 12, 2014 Reason for recall / advisory: Microbiological - Non harmful (Quality/Spoilage) Hazard classification: Class 3 Company / Firm: Loblaw Companies Limited Distribution: National Extent of the distribution: Retail Reference number: 9420 Contents Affected products More information Media enquiries Affected products Brand Name Common Name Size Code(s) on Product UPC PC Probiotic Greek Yogurt - Blueberry/Raspberry 8 x 100 g 2014 OC 30 Lot 1206 0 60383 10897 7 PC Probiotic Greek Yogurt - Black Cherry/Strawberry 8 x 100 g 2014 OC 30 Lot 1206 0 60383 10898 4 PC 0% Greek Yogurt - Honey/Blueberry 8 x 100 g 2014 OC 30 Lot 1206 0 60383 10421 4 PC 0% Greek Yogurt - Honey 908 g 2014 OC 30 LOT:1206 0 60383 06321 4 PC 0% Greek Yogurt - Honey 500 g 2014 OC 30 Lot 1206 0 60383 89894 6 More information For more information, consumers and industry can contact the CFIA by filling out the online feedback form. Media enquiries CFIA Media Relations 613-773-6600 Date modified: 2014-11-17;milk and milk products;organoleptic aspects
13;"West London Sandwiches is recalling various sandwiches because the sandwiches have been produced in unhygienic conditions.
Brand Product name 'Use by' date West London Sandwiches  Tuna Sweetcorn Sandwich Up to and including 06/12/2017 West London Sandwiches  Cheese Salad Sandwich Up to and including 06/12/2017 West London Sandwiches  Cheese and Onion Sandwich  Up to and including 06/12/2017 West London Sandwiches  Chicken Tikka Sandwich  Up to and including 06/12/2017 West London Sandwiches  Chicken Sweetcorn Sandwich  Up to and including 06/12/2017 West London Sandwiches  Egg Bacon Sandwich  Up to and including 06/12/2017 West London Sandwiches  Egg and Cress Sandwich Up to and including 06/12/2017 West London Sandwiches  Chicken Bacon Sandwich  Up to and including 06/12/2017 West London Sandwiches  Ham Cheese Sandwich Up to and including 06/12/2017 West London Sandwiches  Cheese Ploughmans Sandwich  Up to and including 06/12/2017 West London Sandwiches  BLT Sandwich  Up to and including 06/12/2017 West London Sandwiches  Piri Piri Chicken Sandwich Up to and including 06/12/2017 West London Sandwiches  Chicken, Bacon, Mayo Sandwich Up to and including 06/12/2017 No other West London Sandwiches products are known to be affected.
The products were produced in unhygienic conditions and may be unfit for human consumption.
If you have bought any of the above products do not eat it. Instead, return it to the store from where it was bought for a full refund.
West London Sandwiches is recalling the above products. The business has been advised to display point of sale notices at retail stores that are selling these products. 
If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Get food alerts Subscribe to get alerts by email or SMS text Ref: FSA-PRIN 41-2017";prepared dishes and snacks;biological
14;"Newsroom > Food Recalls and Allergy Alerts > Archives 
This archive of previously issued food recalls and allergy alerts is provided for reference and research purposes.
Users should note that the products listed in the archive have been subject to removal from the marketplace or appropriate corrective action. Food recalls or allergy alerts are not an indication of the food safety status of products produced at a later date.
OTTAWA, October 10, 2001 - The Canadian Food Inspection Agency (CFIA) is warning consumers not to consume certain brands of Olive-Pomace Oil due to the presence of polycyclic aromatic hydrocarbons (PAHs), some of which are carcinogenic.
The affected products are known to have been distributed in Ontario and Quebec and may have been distributed nationally. The following Olive-Pomace Oil products are affected by this alert:
BRAND
PRODUCT NAME
COUNTRY OF ORIGIN
SIZE
CODES
Olive-Pomace Oil, is a lower grade oil. It is obtained from the residue (pomace) left after the extraction of higher grades of olive oil such as Virgin Olive Oil. Higher grade oils sold as Olive Oil, Virgin Olive Oil and Extra Virgin Olive Oil are not affected by this alert.
PAHs are a group of chemicals that are formed during certain industrial processes and are common environmental contaminants. Some of the PAHs are carcinogenic and long term exposures to PAHs can lead to serious health risks.
The CFIA is currently taking measures to have the affected products recalled from the marketplace. The CFIA will be monitoring the effectiveness of the recalls.
For more information, consumers and industry can call the CFIA at one of the following numbers:
In the province of Quebec 1-800-561-3350; or In other provinces and territories 1-800-442-2342.
For information on receiving recalls by electronic mail, or for other food safety facts, visit our web site at www.inspection.gc.ca.
- 30 -
 Media enquiries:
This archive of previously issued food recalls and allergy alerts is provided for reference and research purposes.
Users should note that the products listed in the archive have been subject to removal from the marketplace or appropriate corrective action. Food recalls or allergy alerts are not an indication of the food safety status of products produced at a later date.
OTTAWA, October 10, 2001 - The Canadian Food Inspection Agency (CFIA) is warning consumers not to consume certain brands of Olive-Pomace Oil due to the presence of polycyclic aromatic hydrocarbons (PAHs), some of which are carcinogenic.
The affected products are known to have been distributed in Ontario and Quebec and may have been distributed nationally. The following Olive-Pomace Oil products are affected by this alert:
BRAND
PRODUCT NAME
COUNTRY OF ORIGIN
SIZE
CODES
Olive-Pomace Oil, is a lower grade oil. It is obtained from the residue (pomace) left after the extraction of higher grades of olive oil such as Virgin Olive Oil. Higher grade oils sold as Olive Oil, Virgin Olive Oil and Extra Virgin Olive Oil are not affected by this alert.
PAHs are a group of chemicals that are formed during certain industrial processes and are common environmental contaminants. Some of the PAHs are carcinogenic and long term exposures to PAHs can lead to serious health risks.
The CFIA is currently taking measures to have the affected products recalled from the marketplace. The CFIA will be monitoring the effectiveness of the recalls.
For more information, consumers and industry can call the CFIA at one of the following numbers:
In the province of Quebec 1-800-561-3350; or In other provinces and territories 1-800-442-2342.
For information on receiving recalls by electronic mail, or for other food safety facts, visit our web site at www.inspection.gc.ca.
- 30 -
 Media enquiries:
Users should note that the products listed in the archive have been subject to removal from the marketplace or appropriate corrective action. Food recalls or allergy alerts are not an indication of the food safety status of products produced at a later date.
OTTAWA, October 10, 2001 - The Canadian Food Inspection Agency (CFIA) is warning consumers not to consume certain brands of Olive-Pomace Oil due to the presence of polycyclic aromatic hydrocarbons (PAHs), some of which are carcinogenic.
The affected products are known to have been distributed in Ontario and Quebec and may have been distributed nationally. The following Olive-Pomace Oil products are affected by this alert:
BRAND
PRODUCT NAME
COUNTRY OF ORIGIN
SIZE
CODES
Olive-Pomace Oil, is a lower grade oil. It is obtained from the residue (pomace) left after the extraction of higher grades of olive oil such as Virgin Olive Oil. Higher grade oils sold as Olive Oil, Virgin Olive Oil and Extra Virgin Olive Oil are not affected by this alert.
PAHs are a group of chemicals that are formed during certain industrial processes and are common environmental contaminants. Some of the PAHs are carcinogenic and long term exposures to PAHs can lead to serious health risks.
The CFIA is currently taking measures to have the affected products recalled from the marketplace. The CFIA will be monitoring the effectiveness of the recalls.
For more information, consumers and industry can call the CFIA at one of the following numbers:
In the province of Quebec 1-800-561-3350; or In other provinces and territories 1-800-442-2342.
For information on receiving recalls by electronic mail, or for other food safety facts, visit our web site at www.inspection.gc.ca.
- 30 -
 Media enquiries:
OTTAWA, October 10, 2001 - The Canadian Food Inspection Agency (CFIA) is warning consumers not to consume certain brands of Olive-Pomace Oil due to the presence of polycyclic aromatic hydrocarbons (PAHs), some of which are carcinogenic.
The affected products are known to have been distributed in Ontario and Quebec and may have been distributed nationally. The following Olive-Pomace Oil products are affected by this alert:
BRAND
PRODUCT NAME
COUNTRY OF ORIGIN
SIZE
CODES
Olive-Pomace Oil, is a lower grade oil. It is obtained from the residue (pomace) left after the extraction of higher grades of olive oil such as Virgin Olive Oil. Higher grade oils sold as Olive Oil, Virgin Olive Oil and Extra Virgin Olive Oil are not affected by this alert.
PAHs are a group of chemicals that are formed during certain industrial processes and are common environmental contaminants. Some of the PAHs are carcinogenic and long term exposures to PAHs can lead to serious health risks.
The CFIA is currently taking measures to have the affected products recalled from the marketplace. The CFIA will be monitoring the effectiveness of the recalls.
For more information, consumers and industry can call the CFIA at one of the following numbers:
In the province of Quebec 1-800-561-3350; or In other provinces and territories 1-800-442-2342.
For information on receiving recalls by electronic mail, or for other food safety facts, visit our web site at www.inspection.gc.ca.
- 30 -
 Media enquiries:
The affected products are known to have been distributed in Ontario and Quebec and may have been distributed nationally. The following Olive-Pomace Oil products are affected by this alert:
BRAND
PRODUCT NAME
COUNTRY OF ORIGIN
SIZE
CODES
Olive-Pomace Oil, is a lower grade oil. It is obtained from the residue (pomace) left after the extraction of higher grades of olive oil such as Virgin Olive Oil. Higher grade oils sold as Olive Oil, Virgin Olive Oil and Extra Virgin Olive Oil are not affected by this alert.
PAHs are a group of chemicals that are formed during certain industrial processes and are common environmental contaminants. Some of the PAHs are carcinogenic and long term exposures to PAHs can lead to serious health risks.
The CFIA is currently taking measures to have the affected products recalled from the marketplace. The CFIA will be monitoring the effectiveness of the recalls.
For more information, consumers and industry can call the CFIA at one of the following numbers:
In the province of Quebec 1-800-561-3350; or In other provinces and territories 1-800-442-2342.
For information on receiving recalls by electronic mail, or for other food safety facts, visit our web site at www.inspection.gc.ca.
- 30 -
 Media enquiries:
BRAND
PRODUCT NAME
COUNTRY OF ORIGIN
SIZE
CODES
Olive-Pomace Oil, is a lower grade oil. It is obtained from the residue (pomace) left after the extraction of higher grades of olive oil such as Virgin Olive Oil. Higher grade oils sold as Olive Oil, Virgin Olive Oil and Extra Virgin Olive Oil are not affected by this alert.
PAHs are a group of chemicals that are formed during certain industrial processes and are common environmental contaminants. Some of the PAHs are carcinogenic and long term exposures to PAHs can lead to serious health risks.
The CFIA is currently taking measures to have the affected products recalled from the marketplace. The CFIA will be monitoring the effectiveness of the recalls.
For more information, consumers and industry can call the CFIA at one of the following numbers:
In the province of Quebec 1-800-561-3350; or In other provinces and territories 1-800-442-2342.
For information on receiving recalls by electronic mail, or for other food safety facts, visit our web site at www.inspection.gc.ca.
- 30 -
 Media enquiries:
PRODUCT NAME
COUNTRY OF ORIGIN
SIZE
CODES
Olive-Pomace Oil, is a lower grade oil. It is obtained from the residue (pomace) left after the extraction of higher grades of olive oil such as Virgin Olive Oil. Higher grade oils sold as Olive Oil, Virgin Olive Oil and Extra Virgin Olive Oil are not affected by this alert.
PAHs are a group of chemicals that are formed during certain industrial processes and are common environmental contaminants. Some of the PAHs are carcinogenic and long term exposures to PAHs can lead to serious health risks.
The CFIA is currently taking measures to have the affected products recalled from the marketplace. The CFIA will be monitoring the effectiveness of the recalls.
For more information, consumers and industry can call the CFIA at one of the following numbers:
In the province of Quebec 1-800-561-3350; or In other provinces and territories 1-800-442-2342.
For information on receiving recalls by electronic mail, or for other food safety facts, visit our web site at www.inspection.gc.ca.
- 30 -
 Media enquiries:
COUNTRY OF ORIGIN
SIZE
CODES
Olive-Pomace Oil, is a lower grade oil. It is obtained from the residue (pomace) left after the extraction of higher grades of olive oil such as Virgin Olive Oil. Higher grade oils sold as Olive Oil, Virgin Olive Oil and Extra Virgin Olive Oil are not affected by this alert.
PAHs are a group of chemicals that are formed during certain industrial processes and are common environmental contaminants. Some of the PAHs are carcinogenic and long term exposures to PAHs can lead to serious health risks.
The CFIA is currently taking measures to have the affected products recalled from the marketplace. The CFIA will be monitoring the effectiveness of the recalls.
For more information, consumers and industry can call the CFIA at one of the following numbers:
In the province of Quebec 1-800-561-3350; or In other provinces and territories 1-800-442-2342.
For information on receiving recalls by electronic mail, or for other food safety facts, visit our web site at www.inspection.gc.ca.
- 30 -
 Media enquiries:
SIZE
CODES
Olive-Pomace Oil, is a lower grade oil. It is obtained from the residue (pomace) left after the extraction of higher grades of olive oil such as Virgin Olive Oil. Higher grade oils sold as Olive Oil, Virgin Olive Oil and Extra Virgin Olive Oil are not affected by this alert.
PAHs are a group of chemicals that are formed during certain industrial processes and are common environmental contaminants. Some of the PAHs are carcinogenic and long term exposures to PAHs can lead to serious health risks.
The CFIA is currently taking measures to have the affected products recalled from the marketplace. The CFIA will be monitoring the effectiveness of the recalls.
For more information, consumers and industry can call the CFIA at one of the following numbers:
In the province of Quebec 1-800-561-3350; or In other provinces and territories 1-800-442-2342.
For information on receiving recalls by electronic mail, or for other food safety facts, visit our web site at www.inspection.gc.ca.
- 30 -
 Media enquiries:
CODES
Olive-Pomace Oil, is a lower grade oil. It is obtained from the residue (pomace) left after the extraction of higher grades of olive oil such as Virgin Olive Oil. Higher grade oils sold as Olive Oil, Virgin Olive Oil and Extra Virgin Olive Oil are not affected by this alert.
PAHs are a group of chemicals that are formed during certain industrial processes and are common environmental contaminants. Some of the PAHs are carcinogenic and long term exposures to PAHs can lead to serious health risks.
The CFIA is currently taking measures to have the affected products recalled from the marketplace. The CFIA will be monitoring the effectiveness of the recalls.
For more information, consumers and industry can call the CFIA at one of the following numbers:
In the province of Quebec 1-800-561-3350; or In other provinces and territories 1-800-442-2342.
For information on receiving recalls by electronic mail, or for other food safety facts, visit our web site at www.inspection.gc.ca.
- 30 -
 Media enquiries:
Olive-Pomace Oil, is a lower grade oil. It is obtained from the residue (pomace) left after the extraction of higher grades of olive oil such as Virgin Olive Oil. Higher grade oils sold as Olive Oil, Virgin Olive Oil and Extra Virgin Olive Oil are not affected by this alert.
PAHs are a group of chemicals that are formed during certain industrial processes and are common environmental contaminants. Some of the PAHs are carcinogenic and long term exposures to PAHs can lead to serious health risks.
The CFIA is currently taking measures to have the affected products recalled from the marketplace. The CFIA will be monitoring the effectiveness of the recalls.
For more information, consumers and industry can call the CFIA at one of the following numbers:
In the province of Quebec 1-800-561-3350; or In other provinces and territories 1-800-442-2342.
For information on receiving recalls by electronic mail, or for other food safety facts, visit our web site at www.inspection.gc.ca.
- 30 -
 Media enquiries:
PAHs are a group of chemicals that are formed during certain industrial processes and are common environmental contaminants. Some of the PAHs are carcinogenic and long term exposures to PAHs can lead to serious health risks.
The CFIA is currently taking measures to have the affected products recalled from the marketplace. The CFIA will be monitoring the effectiveness of the recalls.
For more information, consumers and industry can call the CFIA at one of the following numbers:
In the province of Quebec 1-800-561-3350; or In other provinces and territories 1-800-442-2342.
For information on receiving recalls by electronic mail, or for other food safety facts, visit our web site at www.inspection.gc.ca.
- 30 -
 Media enquiries:
The CFIA is currently taking measures to have the affected products recalled from the marketplace. The CFIA will be monitoring the effectiveness of the recalls.
For more information, consumers and industry can call the CFIA at one of the following numbers:
In the province of Quebec 1-800-561-3350; or In other provinces and territories 1-800-442-2342.
For information on receiving recalls by electronic mail, or for other food safety facts, visit our web site at www.inspection.gc.ca.
- 30 -
 Media enquiries:
For more information, consumers and industry can call the CFIA at one of the following numbers:
In the province of Quebec 1-800-561-3350; or In other provinces and territories 1-800-442-2342.
For information on receiving recalls by electronic mail, or for other food safety facts, visit our web site at www.inspection.gc.ca.
- 30 -
 Media enquiries:
In the province of Quebec 1-800-561-3350; or In other provinces and territories 1-800-442-2342.
For information on receiving recalls by electronic mail, or for other food safety facts, visit our web site at www.inspection.gc.ca.
- 30 -
 Media enquiries:
For information on receiving recalls by electronic mail, or for other food safety facts, visit our web site at www.inspection.gc.ca.
- 30 -
 Media enquiries:
- 30 -
 Media enquiries:
 Media enquiries:";fats and oils;chemical
15;"PRA No. 1999/4127 Date published 27 Oct 1999 Product description Fresh Low Fat Modified Milk, Fresh Reduced Fat Modified Milk, Fresh Milk, Flavoured Milk Coffee And Chocolate, Funny Bones Banana Flavoured Milk - Use By Date 31 October 1999; And Fresh Vanilla Custard - Use By Date 17 November 1999. Distribution NSW/ACT Identifying features N/A What are the defects? May Contain Listeria Bacteria. This Bacteria Can Cause Serious Illness In Pregnant Women, The Elderly, Young Babies And People With Low Immune Systems. What are the hazards? Contamination What should consumers do? Immediately Dispose Of The Products. Customers Should Advise The Toll Free Customer Relations Number 1800 816 773 Of The Batch And Time Code On These Products. Supplier Murrumbidgee Dairy Products Where the product was sold Australian Capital Territory New South Wales Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Eggs and dairy × Close";milk and milk products;biological
16;"Marks & Spencer recalls a number of own-brand cake products due to contamination with coloured plastic strands Thursday 24 November 2005 Food Alert: for Information Ref: 69/2005 (68/2005 Scotland) Marks & Spencer has recalled six own-brand cake products due to the presence of coloured plastic strands from a sieve used during the manufacturing process. The problem has now been rectified. Marks & Spencer has undertaken a product recall of the affected items and recall notices have appeared in the national press today. In addition, point-of-sale notices are displayed in all stores to notify the public of the recall. The notice advises consumers of the reason for the recall and the actions they should take if they have already purchased the affected products. The products recalled are: 
Product Display Date Best Before Unique Product Code Extremely Chocolatey Sponge Roll 01 Dec 05 02 Dec 05 0461689 
Colin the Caterpillar Cake 29 Nov 05 30 Nov 05 0106498 
Chocolate Party Bake 29 Nov 05 30 Nov 05 0333429 
Heart Party Bake 29 Nov 05 30 Nov 05 0469135 6 
Extremely Chocolatey Mini Rolls 04 Dec 05 06 Dec 05 0126830 
Party Bake 29 Nov 05 30 Nov 05 0332880 

No other Marks & Spencer products are known to be affected A copy of the Marks & Spencer Product Recall notice is attached below. Related links Marks & Spencer food product recall 23 November 2005  (pdf 329KB) Get Adobe Acrobat readerYou may need the free Acrobat Reader to view a pdf";confectione;foreign bodies
17;"Page Content ​​​​​​​​                 ​Date published: 25 March 2022 Product information Malt Brewing Co PTY LTD t/a Revel Brewing Co is conducting a recall of Pine Lime Sour Ale 375mL. The product has been available for sale as a 4 pack and 16 pack. The products has been available for sale at Vintage Cellars & independent liquor retailers in QLD, Craft Cartel in NSW, and online from Revel Brewing Co & online liquor retailers (including BoozeBud).  Date markings Packaged date 27.1.2022 Problem The recall is due to a potential secondary fermentation.  Food safety hazard Food products containing excess alcohol and carbonation may cause illness/injury if consumed. Country of origin Australia What to do​ Consumers should not drink or open this product and should dispose of it safely. Please contact Revel Brewing Co for safe disposal instructions and to arrange for reimbursement.  For further information please contact: Malt Brewing Co PTY LTD T/A Revel Brewing Co (07) 3899 5470 https://revelbrewingco.com.au/​​​ Related links: Food Recall Notice [41kb]
​Date published: 25 March 2022 Product information Malt Brewing Co PTY LTD t/a Revel Brewing Co is conducting a recall of Pine Lime Sour Ale 375mL. The product has been available for sale as a 4 pack and 16 pack. The products has been available for sale at Vintage Cellars & independent liquor retailers in QLD, Craft Cartel in NSW, and online from Revel Brewing Co & online liquor retailers (including BoozeBud).  Date markings Packaged date 27.1.2022 Problem The recall is due to a potential secondary fermentation.  Food safety hazard Food products containing excess alcohol and carbonation may cause illness/injury if consumed. Country of origin Australia What to do​ Consumers should not drink or open this product and should dispose of it safely. Please contact Revel Brewing Co for safe disposal instructions and to arrange for reimbursement.  For further information please contact: Malt Brewing Co PTY LTD T/A Revel Brewing Co (07) 3899 5470 https://revelbrewingco.com.au/​​​";alcoholic beverages;other hazard
18;"FOR IMMEDIATE RELEASE -- Pacoima, CA (April 6, 2009) – Energy Club announced the voluntary recall of Energy Club and Mucho Sabor branded in-shell salted pistachios due to potential contamination with salmonella as a follow up to the voluntary recall of roasted shelled and inshell pistachios announced by Setton Pistachio of Terra Bella, Inc. on March 30, 2009.  Salmonella can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems. Healthy persons infected with Salmonella often experience fever, diarrhea (which may be bloody), nausea, vomiting and abdominal pain. In rare circumstances, infection with Salmonella can result in the organism getting into the bloodstream and producing more severe illnesses such as arterial infections (i.e., infected aneurysms), endocarditis and arthritis.
The products have been distributed to retail stores nationwide and Canada. A list of affected products and code dates is listed below.  The code date is located on the front of each package. This recall covers only Energy Club and Mucho Sabor products that contain in shell pistachios.  No other Energy Club and Mucho Sabor products are affected by this recall.
SKU
Brand
Product
Size
Code Dates
Energy Club has received no reports of illness related to this product; the company is issuing this recall as a precaution. Consumers should not eat these products and discard any products they may have.  Consumers can contact the company at 1-818 834-8222 with any questions. 
 
 
  
  SKU 
  Brand 
  Product 
  Size 
  Code Dates 
  
  
  0 52679 01940 1&nbsp;&nbsp;&nbsp;  
  Energy Club 
  Pistachios 
  Classic Size Bag 2.5 oz 
  01/19/10 to 03/27/10 
  
  
  0 52679 01941 8&nbsp; &nbsp;&nbsp;&nbsp; 
  Energy Club 
  Pistachios 
  Value Size Bag 4.5 oz 
  01/19/10 to 03/27/10 
  
  
  0 52679 01943 2&nbsp;&nbsp;  
  Energy Club 
  Pistachios 
  Value Size Bag 4.5 oz 
  01/19/10 to 03/27/10 
  
  
  0 52679 00940 2&nbsp;&nbsp;  
  Energy Club 
  Pistachios 
  Snack Size Bag 1.25 oz 
  01/19/10 to 03/27/10 
  
  
  0 52679 31940 2&nbsp;&nbsp;  
  Energy Club 
  Pistachios 
  Classic Size Bag 2.5 oz 
  01/19/10 to 03/27/10 
  
  
  0 52679 31970 9&nbsp;&nbsp;  
  Mucho Sabor 
  Pistachios Habanero 
  Classic Size Bag 2.0 oz 
  01/19/10 to 03/27/10 
  
  
  0 52679 17940 2&nbsp;&nbsp;  
  Energy Club 
  Pistachios 
  Lay down Bag 13 oz 
  01/19/10 to 03/27/10 
  
  
  0 52679 25002 6&nbsp;&nbsp;  
  Energy Club 
  Pistachios 
  Jar 13 oz 
  01/19/10 to 03/27/10 
  
  
  0 52679 25032 3 
  Energy Club 
  Pistachios 
  Jar 13 oz Set 
  01/19/10 to 03/27/10 
  
  
  0 52679 71943 1  
  Energy Club 
  Pistachios 
  Value Size Bag 5.75 oz 
  01/19/10 to 03/27/10 
  
  
  0 52679 70943 2 
  Energy Club 
  Pistachios 
  Value Size Bag 4.5 oz 
  01/19/10 to 03/27/10 
  
  
  0 52679 71940 0  
  Energy Club 
  Pistachios 
  Classic Size Bag 3.0 oz 
  01/19/10 to 03/27/10 
  
  
  0 52679 51940 6 
  Energy Club 
  Pistachios 
  Classic Size Bag 2.5 oz 
  01/19/10 to 03/27/10 
  
  
  0 52679 07941 2 
  Energy Club 
  Pistachios 
  Cup 2.5 oz 
  01/19/10 to 03/27/10 
  
";nuts, nut products and seeds;biological
19;"Case Number: 003-95   
            Date Opened: 01/10/1995   
            Date Closed: 04/04/1995 
    
            Recall Class:  1   
            Press Release (Y/N):  Y  
    
            Domestic Est. Number:  05633  M   
              Name:  QUISTORFF ENTRPRS OF OSAKIS
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  OSAKIS    
            State:  MN   
            Country:  USA
    
            Product:  SMOKED POLISH SAUSAGE
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  36   
            Pounds Recovered:  31";meat and meat products (other than poultry);biological
20;Food Alert - A batch of Taiwan black pepper dried bean curd containing a colouring matter not permitted in food Issue Date 2014-12-06 Source of Information The Centre for Food Safety (CFS) Food Product Pre-packed black pepper dried bean curd Product name and Description Product name: Towfu Cake Place of origin: Taiwan Manufacturer: Techang Food Co, Ltd Net weight: 70 grams Best before date: March 24, 2015 Reason For Issuing Alert The CFS took a sample of the black pepper dried bean curd for testing under a targeted food surveillance project. Results showed that it contained Dimethyl yellow, a non-permitted colouring matter in food under local legislation. Although there have been research results showing that Dimethyl yellow might cause cancer in animal studies, no sufficient evidence has been found to confirm the health effects on humans from dietary intake of this colouring matter. However, for the sake of prudence, the CFS urged consumers not to consume the batch of affected product. Action Taken by the Centre for Food Safety - The CFS has taken follow-up action including issuing warning to the retailer concerned, and instructed the traders concerned to take the affected product off the shelves. The distributor/importer are also required to stop selling the affected product. - The CFS will alert the trade and the Taiwan authority, continue to closely monitor the situation and take appropriate follow-up actions. Investigation is still ongoing. Advice to the Trade - Stop selling the affected product. Advice to Consumers - Not to consume the batch of affected product. Further Information The CFS press release Centre for Food Safety Food and Environmental Hygiene Department 2014-12-06  ;prepared dishes and snacks;food additives and flavourings
21;Highland Spring Ltd is recalling their 750ml glass bottle Sparkling Spring Water on a precautionary basis because there have been a small number of reports that the bottles have exploded. Product details:   Product Bottle size Use by date Batch code Highland Spring Sparkling Spring Water (Glass Bottle) 750ml MAY 2023A 1137 Highland Spring Sparkling Spring Water (Glass Bottle) 750ml MAY 2023A 1138 Highland Spring Sparkling Spring Water (Glass Bottle) 750ml MAY 2023A 1139 Highland Spring Sparkling Spring Water (Glass Bottle) 750ml JUN 2023A 1172 Highland Spring Sparkling Spring Water (Glass Bottle) 750ml JUN 2023A 1173 Highland Spring Sparkling Spring Water (Glass Bottle) 750ml JUL 2023A 1201 Highland Spring Sparkling Spring Water (Glass Bottle) 750ml JUL 2023A 1202   No other Highland Spring Ltd products are known to be affected Risk:  There is a risk that glass bottles may explode, which may cause injury.  Our advice to consumers: If you have bought the above product, do not drink it. Please contact Highland Spring Ltd on enquiries@highlandspringgroup.com or call 01764 660 500 for a refund. Please avoid unnecessary handling of the product and do not return to the store, instead, safely dispose of the product.   Action taken by the company:   Highland Spring Ltd is recalling the above product. Point of sale notice will be displayed in all retail stores that are selling this product. This notice explains to customers why the product is being recalled and tell them what to do if they have bought the product.;non-alcoholic beverages;other hazard
22;"Case Number: 023-98  Recall Notification Report:   
            RNR023-98
    
            Date Opened: 08/12/1998   
            Date Closed: 12/08/1998 
    
            Recall Class:  I   
            Press Release (Y/N):   
            Y
    
            Domestic Est. Number:  07429  M   
              Name:  Hampton Meat Processig Co.
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  Hopkinsville    
            State:  KY   
            Country:  USA
    
            Product:  Ground Beef
    
            Problem:  BACTERIA   
            Description: E. COLI O157:H7
    
            Total Pounds Recalled:  260   
            Pounds Recovered:  344";meat and meat products (other than poultry);biological
23;"Case Number: 023-96  Recall Notification Report:  N
    
            Date Opened: 11/12/1996   
            Date Closed: 06/23/1997 
    
            Recall Class:  3   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  01494  M   
              Name:  DAKOTA PORK INDUSTRIES
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  MITCHELL    
            State:  SD   
            Country:  USA
    
            Product:  HAM
    
            Problem:  MISBRANDED   
            Description: MISBRANDED
    
            Total Pounds Recalled:  23,280   
            Pounds Recovered:  9,140";meat and meat products (other than poultry);fraud
